@relation chordCount

@attribute chordCount numeric
@attribute grade {1,2,3,4,5,6,7,8}

@data
14,1
0,1
0,1
0,1
6,1
1,1
0,1
10,1
16,1
15,2
2,2
9,2
2,2
17,2
6,2
8,2
3,2
41,2
21,2
25,2
1,2
16,2
6,2
5,2
15,2
9,2
6,2
24,2
8,2
11,2
12,2
25,2
26,2
11,2
7,2
6,2
3,2
3,2
5,2
2,3
2,3
16,3
9,3
25,3
39,3
8,3
11,3
32,3
20,3
24,3
21,3
20,3
13,3
9,3
33,3
9,3
26,3
37,3
25,3
25,3
16,3
16,3
16,3
23,3
41,3
26,3
15,3
9,3
0,3
49,3
22,3
6,3
23,3
23,3
30,3
20,3
5,3
22,3
21,3
39,3
38,3
17,3
54,3
47,3
13,3
37,4
5,4
9,4
12,4
32,4
36,4
32,4
21,4
40,4
20,4
129,4
12,4
29,4
1,4
42,4
29,4
24,4
37,4
15,4
18,4
12,4
31,4
27,4
30,4
36,4
23,4
24,4
24,4
42,4
20,4
5,4
40,5
22,5
22,5
87,5
61,5
22,5
11,5
21,5
52,5
52,5
10,5
69,5
21,5
26,5
33,5
51,5
85,5
34,5
35,5
62,5
5,5
37,5
32,5
22,5
41,5
17,5
71,5
59,5
40,5
13,5
77,6
82,6
83,6
69,6
50,6
55,6
91,6
10,6
118,6
59,6
30,6
86,6
66,6
55,6
36,6
30,6
51,6
17,6
34,6
42,6
70,6
36,6
72,6
77,6
58,6
51,6
61,6
45,6
99,6
27,6
12,6
30,7
129,7
135,7
103,7
125,7
53,7
59,7
50,7
64,7
79,7
43,7
65,7
41,7
74,7
55,7
27,7
58,7
62,7
33,7
82,7
62,8
105,8
104,8
77,8
40,8
29,8
169,8
96,8
128,8
78,8
