@relation fretCount

@attribute [1][0] numeric
@attribute [1][1] numeric
@attribute [1][2] numeric
@attribute [1][3] numeric
@attribute [1][4] numeric
@attribute [1][5] numeric
@attribute [1][6] numeric
@attribute [1][7] numeric
@attribute [1][8] numeric
@attribute [1][9] numeric
@attribute [1][10] numeric
@attribute [1][11] numeric
@attribute [1][12] numeric
@attribute [1][13] numeric
@attribute [1][14] numeric
@attribute [1][15] numeric
@attribute [2][0] numeric
@attribute [2][1] numeric
@attribute [2][2] numeric
@attribute [2][3] numeric
@attribute [2][4] numeric
@attribute [2][5] numeric
@attribute [2][6] numeric
@attribute [2][7] numeric
@attribute [2][8] numeric
@attribute [2][9] numeric
@attribute [2][10] numeric
@attribute [2][11] numeric
@attribute [2][12] numeric
@attribute [2][13] numeric
@attribute [2][14] numeric
@attribute [2][15] numeric
@attribute [3][0] numeric
@attribute [3][1] numeric
@attribute [3][2] numeric
@attribute [3][3] numeric
@attribute [3][4] numeric
@attribute [3][5] numeric
@attribute [3][6] numeric
@attribute [3][7] numeric
@attribute [3][8] numeric
@attribute [3][9] numeric
@attribute [3][10] numeric
@attribute [3][11] numeric
@attribute [3][12] numeric
@attribute [3][13] numeric
@attribute [3][14] numeric
@attribute [3][15] numeric
@attribute [4][0] numeric
@attribute [4][1] numeric
@attribute [4][2] numeric
@attribute [4][3] numeric
@attribute [4][4] numeric
@attribute [4][5] numeric
@attribute [4][6] numeric
@attribute [4][7] numeric
@attribute [4][8] numeric
@attribute [4][9] numeric
@attribute [4][10] numeric
@attribute [4][11] numeric
@attribute [4][12] numeric
@attribute [4][13] numeric
@attribute [4][14] numeric
@attribute [4][15] numeric
@attribute [5][0] numeric
@attribute [5][1] numeric
@attribute [5][2] numeric
@attribute [5][3] numeric
@attribute [5][4] numeric
@attribute [5][5] numeric
@attribute [5][6] numeric
@attribute [5][7] numeric
@attribute [5][8] numeric
@attribute [5][9] numeric
@attribute [5][10] numeric
@attribute [5][11] numeric
@attribute [5][12] numeric
@attribute [5][13] numeric
@attribute [5][14] numeric
@attribute [5][15] numeric
@attribute [6][0] numeric
@attribute [6][1] numeric
@attribute [6][2] numeric
@attribute [6][3] numeric
@attribute [6][4] numeric
@attribute [6][5] numeric
@attribute [6][6] numeric
@attribute [6][7] numeric
@attribute [6][8] numeric
@attribute [6][9] numeric
@attribute [6][10] numeric
@attribute [6][11] numeric
@attribute [6][12] numeric
@attribute [6][13] numeric
@attribute [6][14] numeric
@attribute [6][15] numeric
@attribute grade {1,2,3,4,5,6,7,8}

@data
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,0,7,6,0,1,0,0,0,0,0,0,0,0,0,0,12,13,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0,14,0,2,0,0,0,0,0,0,0,0,0,0,5,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,1,11,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,8,0,1,0,0,0,0,0,0,0,0,0,0,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,8,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,0,6,0,3,2,0,0,0,0,0,0,0,0,0,0,3,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12,13,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2
10,0,12,8,0,0,0,0,0,0,0,0,0,0,0,0,14,10,4,19,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,15,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2
9,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,12,8,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2
16,12,1,9,0,1,0,0,0,0,0,0,0,0,0,0,11,19,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,11,0,2,0,0,0,0,0,0,0,0,0,0,11,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2
14,0,14,9,0,7,0,1,0,0,0,0,0,0,0,0,4,0,10,21,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
