@relation meanInstancesPerBar

@attribute meanInstancesPerBar numeric
@attribute grade {1,2,3,4,5,6,7,8}

@data
8,1
7,1
2,1
4,1
11,1
11,1
4,1
7,1
8,1
4,2
4,2
4,2
6,2
5,2
4,2
7,2
5,2
7,2
7,2
16,2
7,2
4,2
12,2
5,2
8,2
6,2
3,2
7,2
5,2
7,2
7,2
8,2
6,2
8,2
6,2
4,2
3,2
3,2
31,2
5,3
6,3
4,3
11,3
5,3
8,3
7,3
5,3
10,3
13,3
6,3
4,3
9,3
6,3
18,3
5,3
6,3
14,3
6,3
4,3
9,3
7,3
12,3
3,3
7,3
8,3
6,3
7,3
11,3
8,3
6,3
6,3
6,3
9,3
6,3
7,3
15,3
5,4
3,4
4,4
4,4
7,4
6,4
9,4
7,4
9,4
7,4
10,4
7,4
9,4
3,4
5,4
5,4
5,4
9,4
4,4
11,4
6,4
8,4
7,4
5,4
11,4
8,4
6,4
8,4
9,4
9,4
4,4
7,5
5,5
4,5
14,5
5,5
4,5
4,5
9,5
9,5
5,5
8,5
9,5
8,5
8,5
10,5
8,5
6,5
7,5
7,5
8,5
4,5
6,5
7,5
7,5
6,5
7,5
7,5
7,5
6,5
16,5
10,6
11,6
13,6
12,6
12,6
15,6
12,6
8,6
15,6
7,6
6,6
8,6
9,6
9,6
9,6
8,6
9,6
4,6
10,6
11,6
10,6
11,6
7,6
11,6
12,6
9,6
8,6
8,6
9,6
8,6
9,6
13,7
9,7
13,7
8,7
16,7
8,7
7,7
9,7
6,7
8,7
16,7
9,7
8,7
7,7
15,7
11,7
8,7
11,7
7,7
10,7
15,8
14,8
16,8
7,8
8,8
7,8
9,8
11,8
7,8
15,8
