@relation noteCountHighestFret

@attribute a numeric
@attribute a# numeric
@attribute b numeric
@attribute c numeric
@attribute c# numeric
@attribute d numeric
@attribute d# numeric
@attribute e numeric
@attribute f numeric
@attribute f# numeric
@attribute g numeric
@attribute g# numeric
@attribute highestFret numeric
@attribute grade {1,2,3,4,5,6,7,8}

@data
6,0,3,16,0,15,0,12,5,0,8,0,3,1
0,16,0,20,0,16,20,0,16,0,38,0,3,1
7,27,0,18,0,14,18,0,18,0,24,2,5,1
3,8,0,9,0,6,18,1,14,0,13,3,5,1
2,0,0,14,0,5,0,4,3,0,5,0,5,1
5,0,15,9,0,10,0,4,0,4,19,0,5,1
7,0,5,20,0,3,0,5,12,0,19,0,5,1
20,0,1,13,3,20,0,14,19,0,8,0,4,2
14,18,0,11,0,21,14,4,34,0,18,0,4,2
5,2,2,15,0,9,0,8,11,0,9,0,4,2
5,33,0,15,0,13,13,3,7,0,13,0,3,2
1,26,0,12,0,13,27,4,38,0,24,20,5,2
21,13,0,20,0,10,0,10,33,0,16,0,7,2
2,0,0,21,0,12,0,14,14,0,19,0,3,2
39,0,39,27,4,39,0,35,5,21,49,0,10,2
17,13,1,35,0,11,0,9,27,0,20,0,7,2
2,0,7,19,0,7,0,5,4,0,18,0,7,2
1,0,7,19,0,7,0,7,13,0,18,0,5,2
3,8,0,22,0,7,3,6,23,0,5,0,5,2
11,33,13,42,0,46,58,1,46,0,75,23,5,2
4,2,4,30,0,7,0,9,20,0,19,0,5,2
5,0,6,22,0,3,0,10,7,0,10,0,5,2
12,8,0,21,0,9,4,8,29,0,11,0,5,2
50,68,53,143,0,84,51,17,69,3,117,3,11,2
5,1,4,21,0,13,0,23,18,0,17,0,3,3
2,0,6,27,0,12,0,14,12,0,28,0,3,3
4,2,0,10,0,3,8,3,14,0,11,0,5,3
3,0,12,44,0,18,0,14,10,0,27,0,3,3
3,0,2,17,0,2,0,11,11,0,18,0,3,3
22,7,8,45,0,23,0,28,33,0,45,0,5,3
9,1,14,39,0,21,0,23,28,3,39,0,4,3
15,11,5,12,0,19,0,3,13,4,22,0,4,3
13,15,1,5,0,15,0,0,7,3,16,0,4,3
5,7,5,26,0,7,0,11,10,0,17,0,4,3
