@relation numberOfBars

@attribute bars numeric
@attribute grade {1,2,3,4,5,6,7,8}

@data
8,1
16,1
39,1
16,1
6,1
3,1
7,1
9,1
8,1
16,2
22,2
10,2
20,2
20,2
19,2
17,2
25,2
29,2
15,2
12,2
8,2
25,2
7,2
16,2
9,2
15,2
20,2
16,2
27,2
8,2
32,2
15,2
16,2
12,2
9,2
33,2
21,2
27,2
3,2
19,3
14,3
23,3
6,3
25,3
24,3
44,3
9,3
33,3
20,3
17,3
28,3
17,3
20,3
17,3
17,3
9,3
17,3
13,3
5,3
24,3
15,3
5,3
22,3
23,3
13,3
10,3
9,3
11,3
15,3
24,3
18,3
35,3
14,3
17,3
18,3
16,3
19,3
34,3
12,3
49,3
26,3
15,3
48,3
12,3
18,3
36,4
43,4
33,4
27,4
24,4
24,4
12,4
24,4
17,4
16,4
17,4
53,4
8,4
20,4
19,4
13,4
41,4
15,4
29,4
12,4
40,4
23,4
19,4
24,4
22,4
44,4
6,4
16,4
9,4
13,4
20,4
20,4
24,4
13,4
30,4
16,4
18,4
14,4
8,4
43,4
23,5
40,5
36,5
48,5
59,5
30,5
33,5
24,5
52,5
36,5
17,5
48,5
28,5
16,5
19,5
40,5
70,5
18,5
24,5
48,5
19,5
24,5
35,5
26,5
17,5
16,5
16,5
18,5
34,5
14,5
31,5
24,5
20,5
33,5
28,5
20,5
65,5
48,5
25,5
99,6
56,6
37,6
40,6
24,6
20,6
50,6
11,6
48,6
64,6
23,6
49,6
48,6
24,6
33,6
48,6
52,6
45,6
24,6
14,6
50,6
13,6
72,6
88,6
24,6
24,6
85,6
52,6
24,6
30,6
98,6
34,6
21,6
35,7
114,7
56,7
96,7
40,7
48,7
64,7
53,7
74,7
64,7
35,7
41,7
49,7
24,7
60,7
17,7
21,7
72,7
48,7
43,7
48,7
113,7
36,8
53,8
50,8
96,8
68,8
25,8
112,8
84,8
143,8
47,8
