@relation rhythmFlagCount

@attribute 2W numeric
@attribute W numeric
@attribute 1/2 numeric
@attribute 1/4 numeric
@attribute 1/8 numeric
@attribute 1/16 numeric
@attribute 1/32 numeric
@attribute 1/64 numeric
@attribute 1/128 numeric
@attribute triplet numeric
@attribute grade {1,2,3,4,5,6,7,8}

@data
0,0,0,10,19,6,0,0,0,0,1
0,0,32,31,0,0,0,0,0,0,1
0,0,42,25,0,0,0,0,0,0,1
0,0,4,31,12,0,0,0,0,0,1
0,0,0,5,25,12,0,0,0,0,1
0,0,1,0,20,0,0,0,0,0,1
0,0,2,18,0,0,0,0,0,0,1
0,0,1,21,18,0,0,0,0,0,1
0,0,3,19,14,0,0,0,0,0,1
0,0,8,34,14,0,0,0,0,0,2
0,0,11,18,46,20,0,0,0,0,2
0,0,3,22,9,0,0,0,0,0,2
0,0,1,45,29,42,0,0,0,0,2
0,0,2,29,46,0,0,0,0,0,2
0,0,0,0,32,24,0,0,0,0,2
0,0,1,34,34,12,0,0,0,0,2
0,0,0,3,84,0,0,0,0,0,2
0,0,9,36,57,58,0,0,0,0,2
0,0,9,27,34,0,0,0,0,0,2
0,0,1,0,104,0,0,0,0,0,2
0,0,5,22,9,0,0,0,0,0,2
0,0,1,36,22,0,0,0,0,0,2
0,0,0,4,34,6,0,0,0,0,2
0,0,1,1,56,3,0,0,0,0,2
0,0,3,24,14,0,0,0,0,0,2
0,0,2,19,45,0,0,0,0,0,2
0,0,0,15,15,0,0,0,0,0,2
0,0,2,65,115,0,0,0,0,0,2
0,0,0,9,35,15,0,0,0,0,2
0,0,0,6,36,0,0,0,0,0,2
0,0,0,4,27,6,0,0,0,0,2
0,0,1,12,37,28,0,0,0,0,3
0,0,1,25,35,0,0,0,0,0,3
0,0,4,4,45,2,0,0,0,0,3
0,0,1,10,23,0,0,0,0,0,3
0,0,0,8,49,0,0,0,0,0,3
0,0,5,37,60,0,0,0,0,0,3
0,0,1,6,18,0,0,0,0,0,3
0,0,0,16,57,0,0,0,0,0,3
0,0,1,9,99,32,0,0,0,0,3
0,0,1,5,92,60,0,0,0,0,3
0,0,0,30,81,0,0,0,0,0,3
0,0,0,25,14,0,0,0,0,0,3
0,0,0,12,30,5,0,0,0,0,3
0,0,7,20,14,2,0,0,0,0,3
0,0,8,17,0,0,0,0,0,0,3
0,0,0,8,54,0,0,0,0,0,3
0,0,5,32,12,0,0,0,0,0,3
0,0,1,8,26,0,0,0,0,0,3
0,0,8,40,32,0,0,0,0,0,3
0,0,6,18,28,0,0,0,0,0,3
0,0,3,18,24,0,0,0,0,0,3
0,0,3,9,18,0,0,0,0,0,3
0,0,0,1,39,48,0,0,0,0,3
0,0,3,38,0,0,0,0,0,0,3
0,0,1,18,38,15,0,0,0,0,3
0,0,8,19,19,12,0,0,0,0,3
0,0,1,33,19,0,0,0,0,0,3
0,0,19,51,5,0,0,0,0,0,3
0,0,1,16,92,0,0,0,0,0,3
0,0,0,8,112,0,0,0,0,0,3
0,0,3,35,74,34,0,0,0,0,3
0,0,5,30,19,0,0,0,0,0,3
0,0,12,76,172,12,0,0,0,0,3
0,0,7,24,65,112,4,0,0,0,3
0,0,0,13,43,28,0,0,0,0,3
0,0,4,39,112,139,0,0,0,0,3
0,0,0,0,40,56,4,0,0,0,3
0,0,36,64,26,0,0,0,0,0,4
0,0,2,112,12,6,0,0,0,0,4
0,0,0,19,43,119,0,0,0,0,4
0,0,1,6,63,14,0,0,0,0,4
0,0,7,48,127,112,0,0,0,0,4
0,0,0,4,44,50,0,0,0,0,4
0,0,0,102,30,6,0,0,0,0,4
0,0,10,43,52,6,0,0,0,0,4
0,0,7,17,16,0,0,0,0,0,4
0,0,3,46,24,4,0,0,0,0,4
0,0,14,80,111,0,0,0,0,0,4
0,0,0,4,35,10,0,0,0,0,4
0,0,0,12,55,19,1,0,0,0,4
0,0,1,7,32,20,0,0,0,0,4
0,0,7,43,24,0,0,0,0,0,4
0,0,1,9,40,56,16,0,0,0,4
0,0,0,15,49,8,0,0,0,0,4
0,0,0,14,41,9,0,0,0,0,4
0,0,0,3,39,36,0,0,0,0,4
0,0,1,75,90,8,0,0,0,0,4
0,0,0,13,136,296,292,0,0,0,5
0,0,1,4,130,331,0,0,0,0,5
0,0,10,58,44,0,0,0,0,0,5
0,0,2,23,102,260,0,0,0,0,5
0,0,0,3,107,104,0,0,0,0,5
